ID,ORIGINAL_ID,DEST
140,16347,"139.9843903,35.73076969"
141,16347,"139.8693279,35.69695556"
142,16347,"139.8001083,35.69497339"
143,16347,"139.7606623,35.98215299"
144,16347,"139.7438859,35.7111742"
145,16347,"139.7275372,35.91706509"
146,16347,"139.7133435,35.54796544"
147,16347,"140.1745175,35.61978723"
148,16347,"140.1123083,35.99440834"
149,16347,"140.0572828,36.05303625"
150,16347,"139.9901638,35.70307017"
151,16347,"139.9239347,35.83193372"
152,16347,"139.8698491,35.8326155"
153,16347,"139.82015,35.71217015"
154,16347,"139.8011804,35.74801588"
155,16347,"139.7696799,35.55199857"
156,16347,"139.761848,35.70762469"
157,16347,"139.7538057,35.63696412"
158,16347,"139.7439541,35.61712843"
159,16347,"139.7352426,35.70163352"
160,16347,"139.7287783,35.53038446"
161,16347,"139.7208405,35.51930562"
162,16347,"139.7134883,35.59052764"
163,16347,"140.2427138,35.84423095"
164,16347,"140.1792373,35.67162872"
165,16347,"140.134808,36.09524454"
166,16347,"140.1165466,36.08730063"
167,16347,"140.0882969,35.63544978"
168,16347,"140.0583783,35.69052951"
169,16347,"140.0358359,35.92217989"
170,16347,"139.9937402,35.43847735"
171,16347,"139.9577669,35.75247373"
172,16347,"139.9252979,35.86798845"
173,16347,"139.9039617,35.84630738"
174,16347,"139.8726048,35.74972744"
175,16347,"139.8392082,35.74994195"
176,16347,"139.820469,35.85063848"
177,16347,"139.8112359,35.78472475"
178,16347,"139.8011918,35.6828198"
179,16347,"139.7817754,35.90295314"
180,16347,"139.7720878,35.67964466"
181,16347,"139.7668389,35.69636092"
182,16347,"139.7632373,35.83393362"
183,16347,"139.7572248,35.57975848"
184,16347,"139.7538668,35.72391625"
185,16347,"139.7476426,35.79724491"
186,16347,"139.7442217,35.74438911"
187,16347,"139.740255,36.07079802"
188,16347,"139.7353411,35.65164471"
